agestrat,OES_label
084,"7 years, 0 months to 7 years, 11 months"
096,"8 years, 0 months to 8 years, 11 months"
108,"9 years, 0 months to 9 years, 11 months"
120,"10 years, 0 months to 10 years, 11 months"
132,"11 years, 0 months to 11 years, 11 months"
144,"12 years, 0 months to 12 years, 11 months"
156,"13 years, 0 months to 14 years, 11 months"
180,"15 years, 0 months to 16 years, 11 months"
204,"17 years, 0 months to 19 years, 11 months"
240,"20 years, 0 months to 29 years, 11 months"
360,"30 years, 0 months to 39 years, 11 months"
480,"40 years, 0 months to 49 years, 11 months"
600,"50 years, 0 months to 59 years, 11 months"
720,"60 years, 0 months to 69 years, 11 months"
840,"70 years, 0 months to 79 years, 11 months"
960,"80 years, 0 months to 89 years, 11 months"